entity,count,IUPACname,cid
WPH,10,"1-[4-[2-[[6-[4-[2-(dimethylamino)ethoxy]phenyl]furo[2,3-d]pyrimidin-4-yl]amino]ethyl]phenyl]-3-phenylurea",44468256
ZAF,10,(2S)-2-[hydroxy-[(1R)-1-[[(2S)-2-(phenylmethoxycarbonylamino)propanoyl]amino]ethyl]phosphoryl]oxy-3-phenylpropanoic acid,5492457
TY,10,"(2S)-2-[[(2S,3R)-2-amino-3-hydroxybutanoyl]amino]-3-(4-hydroxyphenyl)propanoic acid",11778518
TRIGONELLINE,10,1-methylpyridin-1-ium-3-carboxylate,5570
"PYROGALLOL, PYROGALLIC ACID",10,"benzene-1,2,3-triol",1057
PUTRESCINE,10,"butane-1,4-diamine",1045
QR,10,"5-(diaminomethylideneamino)-2-[(2,5-diamino-5-oxopentanoyl)amino]pentanoic acid",9836019
"QUERCITRIN, QUERCETRIN, QUERCETIN-3-O-RHAMNOSIDE, QCT",10,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one",5280459
RASAGILINE,10,"(1R)-N-prop-2-ynyl-2,3-dihydro-1H-inden-1-amine",3052776
"SODIUM DODECYL SULFATE, SODIUM DODECYL SULPHATE, SODIUM DODECYLSULFATE",10,sodium;dodecyl sulfate,3423265
SGL5213,10,"(E)-N-[1-[2-(dimethylamino)ethylamino]-2-methyl-1-oxopropan-2-yl]-4-[4-[[4-methoxy-2-propan-2-yl-5-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]phenyl]methyl]phenyl]-2,2-dimethylbut-3-enamide",46897566
ROMIDEPSIN,10,"(1S,4S,7Z,10S,16E,21R)-7-ethylidene-4,21-di(propan-2-yl)-2-oxa-12,13-dithia-5,8,20,23-tetrazabicyclo[8.7.6]tricos-16-ene-3,6,9,19,22-pentone",5352062
SEVELAMER,10,2-(chloromethyl)oxirane;prop-2-en-1-amine,3085017
SEPIOLITE,10,dimagnesium;dioxido(oxo)silane;hydroxy-oxido-oxosilane;hydrate,61797
"SALICYLATE, SALICYLATES",10,2-carboxyphenolate,54675850
ASPARTAME,10,(3S)-3-amino-4-[[(2S)-1-methoxy-1-oxo-3-phenylpropan-2-yl]amino]-4-oxobutanoic acid,134601
"ARBIDOL, UMIFENOVIR",10,ethyl 6-bromo-4-[(dimethylamino)methyl]-5-hydroxy-1-methyl-2-(phenylsulfanylmethyl)indole-3-carboxylate,131411
BAS,10,2-(1-benzyl-5-methoxy-2-methylindol-3-yl)ethanamine;hydrochloride,10670
CELECOXIB,10,4-[5-(4-methylphenyl)-3-(trifluoromethyl)pyrazol-1-yl]benzenesulfonamide,2662
"CHOLIC ACID, CHOLATE",10,"(4R)-4-[(3R,5S,7R,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid",221493
BUMETANIDE,10,3-(butylamino)-4-phenoxy-5-sulfamoylbenzoic acid,2471
CAPTOPRIL,10,(2S)-1-[(2S)-2-methyl-3-sulfanylpropanoyl]pyrrolidine-2-carboxylic acid,44093
5CB,10,4-(4-pentylphenyl)benzonitrile,92319
"6-OHDA, 6-HYDROXYDOPAMINE",10,"5-(2-aminoethyl)benzene-1,2,4-triol",4624
ANETHOLE,10,1-methoxy-4-[(E)-prop-1-enyl]benzene,637563
ACARBOSE,10,"(3R,4R,5S,6R)-5-[(2R,3R,4R,5S,6R)-5-[(2R,3R,4S,5S,6R)-3,4-dihydroxy-6-methyl-5-[[(1S,4R,5S,6S)-4,5,6-trihydroxy-3-(hydroxymethyl)cyclohex-2-en-1-yl]amino]oxan-2-yl]oxy-3,4-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-(hydroxymethyl)oxane-2,3,4-triol",41774
8-ISOPROSTANE,10,"(1R,2S)-1-heptyl-2-octylcyclopentane",107873
AFS,10,[(1R)-1-[[(2S)-2-aminopropanoyl]amino]ethyl]phosphonic acid,71957
GFJ,10,"4-[3-(5,8-difluoroquinolin-4-yl)-2-methyl-7-(1H-1,2,4-triazol-5-yl)benzimidazol-5-yl]-3-fluoropyridin-2-amine",134372959
GC,10,(2R)-2-[(2-aminoacetyl)amino]-3-sulfanylpropanoic acid,7408690
GBE,10,"3-[4-[2-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyethyl]piperazin-1-yl]propane-1-sulfonic acid",57339427
GENIPOSIDE,10,"methyl (1S,4aS,7aS)-7-(hydroxymethyl)-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate",107848
FED,10,"[[(2R,3S,4S)-5-[(4aR,10aS)-4a-hydroxy-7,8-dimethyl-2,4-dioxo-5,10a-dihydro-1H-benzo[g]pteridin-10-yl]-2,3,4-trihydroxypentoxy]-hydroxyphosphoryl] [(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate",71627390
FOLFOX,10,"(2S)-2-[[4-[(2-amino-5-formyl-4-oxo-3,6,7,8-tetrahydropteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid;(1R,2R)-1,2-dimethanidylcyclohexane;5-fluoro-1H-pyrimidine-2,4-dione;oxalic acid;platinum(2+)",135659064
HG2+,10,mercury(2+),26623
HGB,10,(4-carboxyphenyl)mercury,8747
"GNETIN-C, GNETIN C",10,"5-[(2S,3S)-4-hydroxy-2-(4-hydroxyphenyl)-6-[(E)-2-(4-hydroxyphenyl)ethenyl]-2,3-dihydro-1-benzofuran-3-yl]benzene-1,3-diol",21633857
"GLUCOSE-6-PHOSPHATE, GLUCOSE 6-PHOSPHATE",10,"[(2R,3S,4S,5R)-3,4,5,6-tetrahydroxyoxan-2-yl]methyl dihydrogen phosphate",5958
HE,10,helium,23987
DAE,10,"beryllium;2-(2,4-dinitroanilino)ethyl phosphono hydrogen phosphate;trifluoride",42626560
"DBPR108, PRUSOGLIPTIN",10,"(2S,4S)-4-fluoro-1-[2-[(2-methyl-4-oxo-4-pyrrolidin-1-ylbutan-2-yl)amino]acetyl]pyrrolidine-2-carbonitrile",44201003
DIACEREIN,10,"4,5-diacetyloxy-9,10-dioxoanthracene-2-carboxylic acid",26248
DICHLOROMETHANE,10,dichloromethane,6344
DEXTRIN,10,"(3R,4S,5S,6R)-2-[(2R,3S,4R,5R)-4,5-dihydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",62698
"DEFEROXAMINE, DESFERRIOXAMINE",10,N-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentyl]-N'-(5-aminopentyl)-N'-hydroxybutanediamide,2973
DESMOPRESSIN,10,"(2S)-N-[(2R)-1-[(2-amino-2-oxoethyl)amino]-5-(diaminomethylideneamino)-1-oxopentan-2-yl]-1-[(4R,7S,10S,13S,16S)-7-(2-amino-2-oxoethyl)-10-(3-amino-3-oxopropyl)-13-benzyl-16-[(4-hydroxyphenyl)methyl]-6,9,12,15,18-pentaoxo-1,2-dithia-5,8,11,14,17-pentazacycloicosane-4-carbonyl]pyrrolidine-2-carboxamide",5311065
CROTONALDEHYDE,10,(E)-but-2-enal,447466
EPIRUBICIN,10,"(7S,9S)-7-[(2R,4S,5R,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",41867
DOPAMINE HYDROCHLORIDE,10,"4-(2-aminoethyl)benzene-1,2-diol;hydrochloride",65340
NIGERICIN,9,"(2R)-2-[(2R,3S,6R)-6-[[(2S,4R,5R,6R,7R,9R)-2-[(2R,5S)-5-[(2R,3S,5R)-5-[(2S,3S,5R,6R)-6-hydroxy-6-(hydroxymethyl)-3,5-dimethyloxan-2-yl]-3-methyloxolan-2-yl]-5-methyloxolan-2-yl]-7-methoxy-2,4,6-trimethyl-1,10-dioxaspiro[4.5]decan-9-yl]methyl]-3-methyloxan-2-yl]propanoic acid",34230
"NITROXIDE, HYDROXYLAMINE",9,hydroxylamine,787
NORATHYRIOL,9,"1,3,6,7-tetrahydroxyxanthen-9-one",5281656
"N-3 PUFA, N-3 PUFAS",9,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoic acid;(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoic acid;(9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid",56842239
NAY,9,"(5R,6R,7S,8R)-5-acetamido-6,7,8,9-tetrahydroxy-2-oxononanoic acid",445523
PDDA,9,3-prop-2-enoyloxypropyl prop-2-enoate,62784
PHOSPHATIDYLSERINE,9,"(2S)-2-amino-3-[[(2R)-2,3-di(octadecanoyloxy)propoxy]-hydroxyphosphoryl]oxypropanoic acid",9547096
ORIDONIN,9,"(1S,2S,5S,8R,9S,10S,11R,15S,18R)-9,10,15,18-tetrahydroxy-12,12-dimethyl-6-methylidene-17-oxapentacyclo[7.6.2.15,8.01,11.02,8]octadecan-7-one",5321010
OVOTHIOL-A,9,(2S)-2-amino-3-(3-methyl-5-sulfanylimidazol-4-yl)propanoic acid,130131
OBOVATOL,9,"5-prop-2-enyl-3-(4-prop-2-enylphenoxy)benzene-1,2-diol",100771
PAPAVERINE,9,"1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxyisoquinoline",4680
"METHYLDOPA, AMD",9,"(2S)-2-amino-3-(3,4-dihydroxyphenyl)-2-methylpropanoic acid",38853
MOLYBDENUM COFACTOR,9,"(5aR,8R,9aR)-2-amino-4-oxo-8-(phosphonooxymethyl)-3,5,5a,8,9a,10-hexahydropyrano[3,2-g]pteridine-6,7-dithiolate;dioxomolybdenum(2+)",136033744
"METHYLMALONIC ACID, METHYL MALONIC ACID",9,2-methylpropanedioic acid,487
MIBI,9,1-isocyano-2-methoxy-2-methylpropane,130600
LURASIDONE,9,"(1R,2S,6R,7S)-4-[[(1R,2R)-2-[[4-(1,2-benzothiazol-3-yl)piperazin-1-yl]methyl]cyclohexyl]methyl]-4-azatricyclo[5.2.1.02,6]decane-3,5-dione",213046
LINACLOTIDE,9,"(2S)-2-[[(1R,4S,7S,13S,16R,21R,24R,27S,30S,33R,38R,44S)-21-amino-13-(2-amino-2-oxoethyl)-27-(2-carboxyethyl)-44-[(1R)-1-hydroxyethyl]-30-[(4-hydroxyphenyl)methyl]-4-methyl-3,6,12,15,22,25,28,31,40,43,46,51-dodecaoxo-18,19,35,36,48,49-hexathia-2,5,11,14,23,26,29,32,39,42,45,52-dodecazatetracyclo[22.22.4.216,33.07,11]dopentacontane-38-carbonyl]amino]-3-(4-hydroxyphenyl)propanoic acid",16158208
LUPEOL,9,"(1R,3aR,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-3a,5a,5b,8,8,11a-hexamethyl-1-prop-1-en-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysen-9-ol",259846
"MAGNESIUM HYDROXIDE, MG(OH)2",9,magnesium;dihydroxide,73981
LYS-MET,9,"(2S)-2-[[(2S)-2,6-diaminohexanoyl]amino]-4-methylsulfanylbutanoic acid",7016114
THIOUREA,9,thiourea,2723790
"THYMIDINE, THM",9,"1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",5789
"SULFURIC ACID, SULPHURIC ACID, H2SO4",9,sulfuric acid,1118
SWERTIAMARIN,9,"(3S,4R,4aR)-4-ethenyl-4a-hydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4,5,6-tetrahydropyrano[3,4-c]pyran-8-one",442435
SULFONYLUREA,9,sulfonylurea,140987867
TCO2,9,dioxotechnetium,6857437
VV116,9,"[(2R,3R,4R,5R)-5-(4-amino-5-deuteriopyrrolo[2,1-f][1,2,4]triazin-7-yl)-5-cyano-3,4-bis(2-methylpropanoyloxy)oxolan-2-yl]methyl 2-methylpropanoate;hydrobromide",163409081
"TTFD, THIAMINE TETRAHYDROFURFURYL DISULFIDE",9,N-[(4-amino-2-methylpyrimidin-5-yl)methyl]-N-[(E)-5-hydroxy-3-(oxolan-2-ylmethyldisulfanyl)pent-2-en-2-yl]formamide,3002119
PYRENE,9,pyrene,31423
"PYRIDINE, 3-PYRIDINE",9,pyridine,1049
RG5,9,"(2R)-4-(7-fluoro-9H-pyrimido[4,5-b]indol-4-yl)-2-(2H-tetrazol-5-yl)morpholine",164513316
PLT,9,(2S)-2-[[3-hydroxy-2-methyl-5-(phosphonooxymethyl)pyridin-4-yl]methylamino]-3-(1H-indol-3-yl)propanoic acid,449408
PROPICONAZOLE,9,"1-[[2-(2,4-dichlorophenyl)-4-propyl-1,3-dioxolan-2-yl]methyl]-1,2,4-triazole",43234
PROPYLTHIOURACIL,9,6-propyl-2-sulfanylidene-1H-pyrimidin-4-one,657298
"RIBOSE, D-RIBOSE",9,"(3R,4R,5R)-oxane-2,3,4,5-tetrol",10975657
SODIUM BENZOATE,9,sodium;benzoate,517055
SSO,9,"[(3S)-4-[(2R,3S,4S)-3,4-dihydroxy-2-(hydroxymethyl)thiolan-1-ium-1-yl]-1,3-dihydroxybutan-2-yl] hydrogen sulfate",448774
SELONSERTIB,9,"5-(4-cyclopropylimidazol-1-yl)-2-fluoro-4-methyl-N-[6-(4-propan-2-yl-1,2,4-triazol-3-yl)pyridin-2-yl]benzamide",71245288
BETULINIC ACID,9,"(1R,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-hydroxy-5a,5b,8,8,11a-pentamethyl-1-prop-1-en-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylic acid",64971
BETAHISTINE,9,N-methyl-2-pyridin-2-ylethanamine,2366
BETA-ALANINE,9,3-aminopropanoic acid,239
BERGENIN,9,"(2R,3S,4S,4aR,10bS)-3,4,8,10-tetrahydroxy-2-(hydroxymethyl)-9-methoxy-3,4,4a,10b-tetrahydro-2H-pyrano[3,2-c]isochromen-6-one",66065
"BERGAPTEN, 5-METHOXYPSORALEN",9,"4-methoxyfuro[3,2-g]chromen-7-one",2355
BRB,9,(4-bromophenyl)methanol,70119
BLD,9,"(1S,2R,4R,5S,7S,8S,11S,12S,15R,16S)-15-[(2S,3R,4R,5S)-3,4-dihydroxy-5,6-dimethylheptan-2-yl]-2,16-dimethyl-9-oxatetracyclo[9.7.0.02,7.012,16]octadecane-4,5,8-triol",53339023
BISOPROLOL,9,1-(propan-2-ylamino)-3-[4-(2-propan-2-yloxyethoxymethyl)phenoxy]propan-2-ol,2405
ASPARAGINE,9,"(2S)-2,4-diamino-4-oxobutanoic acid",6267
ATRAZINE,9,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",2256
AZELNIDIPINE,9,"3-O-(1-benzhydrylazetidin-3-yl) 5-O-propan-2-yl 2-amino-6-methyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",65948
B12,9,"4-[(1S,3aS,5aR,5bR,7aS,9R,11aS,11bR,13aR,13bR)-3a-[2-[(1S,4S)-2,2-dioxo-2lambda6-thia-5-azabicyclo[2.2.1]heptan-5-yl]ethylamino]-5a,5b,8,8,11a-pentamethyl-1-propan-2-yl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysen-9-yl]benzoic acid",134816264
CFE,9,"1-chloro-1,2,2-trifluoroethene",6594
CEFOTAXIME,9,"(6R,7R)-3-(acetyloxymethyl)-7-[[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",5742673
CMF,9,3-cyclohexyl-1-(2-morpholin-4-yl-2-oxoethyl)-2-phenylindole-6-carboxylic acid,4369534
CI,9,2-[(2-amino-3-sulfanylpropanoyl)amino]-3-methylpentanoic acid,18218197
"CINEOLE, 1,8-CINEOLE, EUCALYPTOL",9,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",2758
"CAMP, CYCLIC ADENOSINE MONOPHOSPHATE",9,"(4aR,6R,7R,7aS)-6-(6-aminopurin-9-yl)-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-ol",6076
API,9,"(3R,4R)-4-(hydroxymethyl)oxolane-2,3,4-triol",12306753
4-AP,9,pyridin-4-amine,1727
"1,3,7-TRIMETHYLURIC ACID, TRIMETHYL URIC ACID",9,"1,3,7-trimethyl-9H-purine-2,6,8-trione",79437
AGAROSE,9,"(2S,3R,4S,5R,6R)-2-[[(1S,3S,4S,5S,8R)-3-[(2S,3R,4S,5S,6R)-2-[[(1S,3R,4S,5S,8R)-3,4-dihydroxy-2,6-dioxabicyclo[3.2.1]octan-8-yl]oxy]-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-4-hydroxy-2,6-dioxabicyclo[3.2.1]octan-8-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",11966311
FXT,9,diaminomethylidene-[5-(diaminomethylideneamino)pentyl]azanium,137332092
FSG,9,[(1S)-1-fluoro-2-(hydroxyamino)-2-oxoethyl]phosphonic acid,17754240
FDC,9,"4-amino-1-[(2R,3R,4R,5R)-3-fluoro-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one",101507
"FCM, FOSFOMYCIN",9,"[(2R,3S)-3-methyloxiran-2-yl]phosphonic acid",446987
"FBP, FRUCTOSE-1,6-BISPHOSPHATE, FRUCTOSE 1,6-BISPHOSPHATE",9,"[(2R,3S,4S,5R)-2,3,4-trihydroxy-5-(phosphonooxymethyl)oxolan-2-yl]methyl dihydrogen phosphate",10267
FORMATE,9,formate,283
FINGOLIMOD,9,"2-amino-2-[2-(4-octylphenyl)ethyl]propane-1,3-diol",107970
GRAPIPRANT,9,"1-[2-[4-(2-ethyl-4,6-dimethylimidazo[4,5-c]pyridin-1-yl)phenyl]ethyl]-3-(4-methylphenyl)sulfonylurea",11677589
"DDE, DICHLORODIPHENYLDICHLOROETHYLENE",9,"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene",3035
DICHLORVOS,9,"2,2-dichloroethenyl dimethyl phosphate",3039
"DEXIBUPROFEN, S-IBUPROFEN",9,(2S)-2-[4-(2-methylpropyl)phenyl]propanoic acid,39912
COPTISINE,9,"5,7,17,19-tetraoxa-13-azoniahexacyclo[11.11.0.02,10.04,8.015,23.016,20]tetracosa-1(13),2,4(8),9,14,16(20),21,23-octaene",72322
COF,9,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(3R)-3-hydroxy-2,2-dimethyl-4-oxo-4-[[3-oxo-3-[2-(3,3,3-trifluoro-2-oxopropyl)sulfanylethylamino]propyl]amino]butyl] hydrogen phosphate",449575
CYPERMETHRIN,9,"[cyano-(3-phenoxyphenyl)methyl] 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate",2912
ENZ,9,5-methyl-4-phenyl-2-pyridin-2-yl-1H-pyrazol-3-one,13590499
"EACA, ACS",9,6-aminohexanoic acid,564
EPO,9,"potassium;[2-butyl-5-chloro-3-[[4-[2-(1,2,3-triaza-4-azanidacyclopenta-2,5-dien-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol",11751549
DIHYDRATE,9,2-(ethylideneamino)-3-hydroxybutanoic acid;iron;dihydrate,102600809
NINTEDANIB,8,methyl 2-hydroxy-3-[N-[4-[methyl-[2-(4-methylpiperazin-1-yl)acetyl]amino]phenyl]-C-phenylcarbonimidoyl]-1H-indole-6-carboxylate,135423438
NITRENDIPINE,8,"5-O-ethyl 3-O-methyl 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",4507
MTH,8,"(2R,3R,4S,5S)-2-(4-aminopyrrolo[2,3-d]pyrimidin-7-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol",188350
MYRICITRIN,8,"5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-2-(3,4,5-trihydroxyphenyl)chromen-4-one",5281673
"MPLA, MONOPHOSPHORYL LIPID A",8,"[(3S,4R,5R,6S)-2-[[(2R,3R,4R,5S,6R)-3-[[(3R)-3-dodecanoyloxytetradecanoyl]amino]-6-(hydroxymethyl)-5-phosphonooxy-4-[(3R)-3-tetradecanoyloxytetradecanoyl]oxyoxan-2-yl]oxymethyl]-3,6-dihydroxy-5-[[(3R)-3-hydroxytetradecanoyl]amino]oxan-4-yl] (3R)-3-hydroxytetradecanoate",151110
NAFAMOSTAT MESYLATE,8,(6-carbamimidoylnaphthalen-2-yl) 4-(diaminomethylideneamino)benzoate;methanesulfonic acid,5311180
NAE,8,N-(2-hydroxyethyl)dodecanamide,8899
"N-ACETYLNEURAMINIC ACID, NEU5AC",8,"(4S,5R,6R)-5-acetamido-2,4-dihydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid",439197
NB001,8,5-[2-(6-aminopurin-9-yl)ethylamino]pentan-1-ol,2815031
NBT,8,2-[2-methoxy-4-[3-methoxy-4-[3-(4-nitrophenyl)-5-phenyltetrazol-2-ium-2-yl]phenyl]phenyl]-3-(4-nitrophenyl)-5-phenyltetrazol-2-ium;dichloride,9281
PERAMPANEL,8,2-(2-oxo-1-phenyl-5-pyridin-2-ylpyridin-3-yl)benzonitrile,9924495
PCB 126,8,"1,2,3-trichloro-5-(3,4-dichlorophenyl)benzene",63090
"PARAXANTHINE, 1,7-DIMETHYLXANTHINE",8,"1,7-dimethyl-3H-purine-2,6-dione",4687
PHORATE,8,diethoxy-(ethylsulfanylmethylsulfanyl)-sulfanylidene-lambda5-phosphane,4790
"PFHXA, PERFLUOROHEXANOIC ACID",8,"2,2,3,3,4,4,5,5,6,6,6-undecafluorohexanoic acid",67542
PGAL,8,"(2S)-2-aminopentanedioic acid;(2S)-2,6-diaminohexanoic acid",79415
ONONIN,8,"3-(4-methoxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",442813
OROTATE,8,"2,4-dioxo-1H-pyrimidine-6-carboxylate",1492348
OLZ,8,(2S)-2-amino-3-(2-aminoethoxy)propanoic acid,160555
OCP,8,"[(2R)-2,3-bis(octylcarbamoyloxy)propoxy]-octylphosphinic acid",445454
"PALMITOLEIC ACID, (9Z)-HEXADECENOIC ACID",8,(Z)-hexadec-9-enoic acid,445638
OXAPROZIN,8,"3-(4,5-diphenyl-1,3-oxazol-2-yl)propanoic acid",4614
KXS,8,"(1R,2S,5R)-N-(4-methoxyphenyl)-5-methyl-2-propan-2-ylcyclohexane-1-carboxamide",11266244
"KOH, POTASSIUM HYDROXIDE",8,potassium;hydroxide,14797
LEONURINE,8,"4-(diaminomethylideneamino)butyl 4-hydroxy-3,5-dimethoxybenzoate",161464
LEVOSIMENDAN,8,"2-[[4-[(4R)-4-methyl-6-oxo-4,5-dihydro-1H-pyridazin-3-yl]phenyl]hydrazinylidene]propanedinitrile",3033825
IRISIN,8,"5-hydroxy-3-(3-hydroxy-4,5-dimethoxyphenyl)-6-methoxy-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",5281777
KAINIC ACID,8,"(2S,3S,4S)-3-(carboxymethyl)-4-prop-1-en-2-ylpyrrolidine-2-carboxylic acid",10255
"MNU, N-METHYL-N-NITROSOUREA, N-METHYL-N-NITROSO UREA, N-METHYL N-NITROSOUREA",8,1-methyl-1-nitrosourea,12699
LNT,8,"N-[(2S,3R,4R,5S,6R)-2-[(2R,3S,4S,5R,6S)-3,5-dihydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-yl]oxy-5-hydroxy-6-(hydroxymethyl)-4-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl]acetamide",440993
LIGNANS,8,"(5R,8aS,9R)-5-hydroxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[5,6-f][1,3]benzodioxol-8-one",443013
"LITHIUM CARBONATE, LI2CO3",8,dilithium;carbonate,11125
LY,8,(2S)-2-[[(2S)-2-amino-4-methylpentanoyl]amino]-3-(4-hydroxyphenyl)propanoic acid,70410
LXA4,8,"(5S,6R,7E,9E,11Z,13E,15S)-5,6,15-trihydroxyicosa-7,9,11,13-tetraenoic acid",5280914
M2000,8,"(2S,3S,4S,5S)-2,3,4,5-tetrahydroxy-6-oxohexanoic acid",81264
"TIO2 NANOTUBES, TITANIUM OXIDE, TITANIUM DIOXIDE NANORODS",8,oxygen(2-);titanium(4+),162651
THYMOQUINONE,8,"2-methyl-5-propan-2-ylcyclohexa-2,5-diene-1,4-dione",10281
TFM,8,4-nitro-3-(trifluoromethyl)phenol,6931
TOFACITINIB,8,"3-[(3R,4R)-4-methyl-3-[methyl(7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino]piperidin-1-yl]-3-oxopropanenitrile",9926791
"TENOFOVIR ALAFENAMIDE, TAF",8,propan-2-yl (2S)-2-[[[(2R)-1-(6-aminopurin-9-yl)propan-2-yl]oxymethyl-phenoxyphosphoryl]amino]propanoate,9574768
TDH,8,4-[3-(4-hydroxyphenyl)triazol-4-yl]phenol,135566742
TARTRAZINE,8,trisodium;5-oxo-1-(4-sulfonatophenyl)-4-[(4-sulfonatophenyl)diazenyl]-4H-pyrazole-3-carboxylate,164825
"VITAMIN K2, MENATETRENONE",8,"2-methyl-3-[(2E,6E,10E)-3,7,11,15-tetramethylhexadeca-2,6,10,14-tetraenyl]naphthalene-1,4-dione",5282367
WPS,8,3-amino-5-methyl-1H-pyrazole-4-carbonitrile,227460
TZP,8,"2-(4-methyl-1,3-thiazol-5-yl)ethyl dihydrogen phosphate",1137
TRIMETHOPRIM,8,"5-[(3,4,5-trimethoxyphenyl)methyl]pyrimidine-2,4-diamine",5578
TRITON X-100,8,"2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethanol",5590
REB,8,2-[4-[[4-[(5-cyclopropyl-1H-pyrazol-3-yl)amino]pyrimidin-2-yl]amino]phenyl]acetonitrile,45111332
"QUERCETIN-3-O-GLUCOSIDE, ACACIA, ISOQUERCETIN, QUERCETIN GLUCOSIDE",8,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",5280804
