entity,IUPACname,solid,soluble,filter
APIGENIN,"5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one",Yes,Yes,0
CHAMOMILE,"5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one",No,Yes,0
LUTEOLIN,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",Yes,Yes,0
LUTEOLINE,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",Yes,Yes,0
LINOLEIC ACID,"(9Z,12Z)-octadeca-9,12-dienoic acid",No,No,0
LINOLEIC,"(9Z,12Z)-octadeca-9,12-dienoic acid",No,No,0
LINOLEATE,"(9Z,12Z)-octadeca-9,12-dienoic acid",No,No,0
C18:2,"(9Z,12Z)-octadeca-9,12-dienoic acid",No,No,0
GENISTEIN,"5,7-dihydroxy-3-(4-hydroxyphenyl)chromen-4-one",Yes,Yes,0
GEN,"5,7-dihydroxy-3-(4-hydroxyphenyl)chromen-4-one",None,None,0
CHRYSIN,"5,7-dihydroxy-2-phenylchromen-4-one",No,No,0
FISETIN,"2-(3,4-dihydroxyphenyl)-3,7-dihydroxychromen-4-one",No,Yes,0
FSE,"2-(3,4-dihydroxyphenyl)-3,7-dihydroxychromen-4-one",No,No,0
4-HNE,(E)-4-hydroxynon-2-enal,No,No,0
4-HYDROXYNONENAL,(E)-4-hydroxynon-2-enal,No,Yes,0
4-HYDROXY-2-NONENAL,(E)-4-hydroxynon-2-enal,No,No,0
4-HYDROXY-2,(E)-4-hydroxynon-2-enal,No,Yes,0
3-NONENAL,(E)-4-hydroxynon-2-enal,No,No,0
VITAMIN B12,"cobalt(3+);[(2R,3S,4R,5S)-5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] [(2R)-1-[3-[(1R,2R,3R,5Z,7S,10Z,12S,13S,15Z,17S,18S,19R)-2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-24-id-3-yl]propanoylamino]propan-2-yl] phosphate;cyanide",No,Yes,0
PB,lead,Yes,Yes,0
LEAD,lead,Yes,Yes,0
CS,cesium,No,No,0
CESIUM,cesium,No,Yes,0
AL,aluminum,Yes,Yes,0
ALUMINUM,aluminum,Yes,Yes,0
SODIUM,sodium,Yes,Yes,0
MONOSODIUM,sodium,Yes,Yes,0
NATRIUM,sodium,Yes,Yes,0
GA,gallium,Yes,Yes,0
CALCIUM,calcium,Yes,Yes,0
CISPLATIN,azane;dichloroplatinum,Yes,Yes,0
HOMA,8-hydroxyoctyl 2-methylprop-2-enoate,No,No,0
BEMPEDOIC ACID,"8-hydroxy-2,2,14,14-tetramethylpentadecanedioic acid",No,Yes,0
ETC-1002,"8-hydroxy-2,2,14,14-tetramethylpentadecanedioic acid",No,Yes,0
HAUCL4,trichlorogold;hydrochloride,Yes,Yes,0
FT3,"2-(2,4-dichlorophenoxy)-5-(hydroxymethyl)phenol",No,No,0
OP,"(2S)-2,5-diaminopentanoic acid;2-phenylacetic acid",No,No,0
WARFARIN,4-hydroxy-3-(3-oxo-1-phenylbutyl)chromen-2-one,Yes,Yes,0
COUMARINS,4-hydroxy-3-(3-oxo-1-phenylbutyl)chromen-2-one,Yes,Yes,0
COMPOUND 42,4-hydroxy-3-(3-oxo-1-phenylbutyl)chromen-2-one,No,No,0
GUA,"2-amino-1,7-dihydropurin-6-one",No,No,0
HYPOXANTHINE,"1,7-dihydropurin-6-one",No,Yes,0
HX,"1,7-dihydropurin-6-one",None,None,0
METHANE,methane,No,No,0
MAGNESIUM AMMONIUM PHOSPHATE HEXAHYDRATE,azanium;magnesium;phosphate;hexahydrate,Yes,Yes,0
ACTIVATED CARBON,carbon,Yes,No,1
CARBON NANOFIBERS,methane,Yes,No,1
BRUSHITE,calcium;hydrogen phosphate;dihydrate,Yes,Yes,0
HYDROXYAPATITE,pentacalcium;hydroxide;triphosphate,Yes,No,1
STRUVITE,azanium;magnesium;phosphate;hexahydrate,Yes,No,1
